unique_spon_names,normed_spon_names
"Department of critical care, Zhongnan Hospital of Wuhan University",Zhongnan Hospital of Wuhan University
"First People's Hospital of Jiangxia District, Wuhan (Union Jiangnan Hospital)","The First People's Hospital of Jiangxia District, Wuhan (Union Jiangnan Hospital)"
"Hwa Mei Hospital, University of Chinese Academy of Sciences","Hwa Mei Hospital, University of Chinese Academy of Sciences"
"The First Affiliated Hospital, Zhejiang University School of Medicine","The First Affiliated Hospital, Zhejiang University School of Medicine"
"Tongji Medical College, HUST","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Wuhan 1st Hospital,Wuhan First Hospital
Yueyang Hospital of Integrated Traditional Chinese Medicine and Western Medicine Affiliated to Shanghai University of Tranditional Medicine,Yueyang Hospital of Integrated Traditional Chinese Medicine and Western Medicine Affiliated to Shanghai University of Tranditional Medicine
China Academy of Chinese Medical Sciences; Zhongnan Hospital of Wuhan University,China Academy of Chinese Medical Sciences; Zhongnan Hospital of Wuhan University
Hospices Civils de Lyon,Hospices Civils de Lyon
Affiliated Hospital of Inner Mongolia University for the Nationalities,Affiliated Hospital of Inner Mongolia University for the Nationalities
Anhui Cancer Hospital,Anhui Cancer Hospital
The First Hospital of Changsha,The First Hospital of Changsha
The First Affiliated Hospital of Anhui University of Traditional Chinese Medicine,The First Affiliated Hospital of Anhui University of Traditional Chinese Medicine
The First Affiliated Hospital of Guangzhou University of Traditional Chinese Medicine,The First Affiliated Hospital of Guangzhou University of Traditional Chinese Medicine
"Tongji Hospital, Tongji medical college of HUST","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Health commission of Heilongjiang province,Health commission of Heilongjiang province
Hubei Integrated Hospital of Traditional Chinese and Western Medicine,Hubei Provincial Hospital of Integrated Chinese and Western Medicine
"Department of Nephrology, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China.",Chinese Academy of Medical Sciences Peking Union Medical College Hospital
Guangzhou Institute of Respiratory Disease,Guangzhou Institute of Respiratory Disease
"Tongji Hospital, Tongji Medical College, Huazhong University of science and technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
The First People's Hospital of Huaihua,The First People's Hospital of Huaihua
Beijing Children's Hospital,Beijing Children's Hospital
Hu'nan university of chinese medicine,Hunan University of Chinese Medicine
"Department of respiratory and critical care medicine, Tongji Hospital, Tongji Medical College, Huazhong University of science and technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
